image1,image2,question_type,target_object,question,choice_1,choice_2,choice_3,choice_4,choice_5
handshape_v.jpg,ID_49.jpg,rating,fork,How well does the shape of the hand match the shape of the fork?,1 - not well at all,2,3,4,5 - very well
handshape_s.jpg,ID_50.jpg,rating,mallet,How well does the shape of the hand match the shape of the mallet?,1 - not well at all,2,3,4,5 - very well
handshape_claw.jpg,ID_51.jpg,rating,rake,How well does the shape of the hand match the shape of the rake?,1 - not well at all,2,3,4,5 - very well
handshape_x.jpg,ID_52.jpg,rating,hockey stick,How well does the shape of the hand match the shape of the hockey stick?,1 - not well at all,2,3,4,5 - very well
handshape_1.jpg,ID_53.jpg,rating,toothbrush,How well does the shape of the hand match the shape of the toothbrush?,1 - not well at all,2,3,4,5 - very well
handshape_b.jpg,ID_54_1.jpg,rating,knife,How well does the shape of the hand match the shape of the knife?,1 - not well at all,2,3,4,5 - very well
handshape_b.jpg,ID_54_2.jpg,rating,saucepan,How well does the shape of the hand match the shape of the saucepan?,1 - not well at all,2,3,4,5 - very well
handshape_b.jpg,ID_55.jpg,rating,hoe,How well does the shape of the hand match the shape of the hoe?,1 - not well at all,2,3,4,5 - very well
handshape_1.jpg,ID_57.jpg,rating,mallet,How well does the shape of the hand match the shape of the mallet?,1 - not well at all,2,3,4,5 - very well
handshape_1.jpg,ID_61.jpg,rating,pencil,How well does the shape of the hand match the shape of the pencil?,1 - not well at all,2,3,4,5 - very well
handshape_b.jpg,ID_66.jpg,rating,skillet,How well does the shape of the hand match the shape of the skillet?,1 - not well at all,2,3,4,5 - very well
handshape_1.jpg,ID_80.jpg,rating,stick,How well does the shape of the hand match the shape of the stick?,1 - not well at all,2,3,4,5 - very well
handshape_1.jpg,ID_84.jpg,rating,jigsaw,How well does the shape of the hand match the shape of the jigsaw?,1 - not well at all,2,3,4,5 - very well
handshape_b.jpg,ID_87.jpg,rating,oar,How well does the shape of the hand match the shape of the oar?,1 - not well at all,2,3,4,5 - very well
handshape_b.jpg,ID_88.jpg,rating,paddle,How well does the shape of the hand match the shape of the paddle?,1 - not well at all,2,3,4,5 - very well
,,catch,,Please select '1',1,2,3,4,5
,,catch,,Please select '2',1,2,3,4,5
,,catch,,Please select '3',1,2,3,4,5
,,catch,,Please select '4',1,2,3,4,5
,,catch,,Please select '5',1,2,3,4,5
